Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Affected hardware),Custom field (Affected services),Custom field (Approvals),Custom field (Asset type),Custom field (Asset type),Custom field (Backout plan),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Department),Custom field (Department),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Implementation plan),Custom field (Investigation reason),Custom field (Issue color),Custom field (Locked forms),Custom field (Major incident),Custom field (Open forms),Custom field (Pending reason),Custom field (Planned end),Custom field (Planned start),Custom field (Priority),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Custom field (Root cause),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Custom field (Severity),Custom field (Source),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test plan),Custom field (Time to close after resolution),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Time to review normal change),Custom field (Total forms),Custom field (Urgency),Custom field (Vulnerability),Custom field (Work category),Custom field (Workaround),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Status Category,Status Category Changed
“Plaseaza comanda” button,IGCM-15,20895,Story,Done,IGCM,irina_gosav_company_managed,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Highest,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,19/Oct/24 11:05 PM,27/Oct/24 3:22 AM,08/Nov/24 11:12 AM,19/Oct/24 11:05 PM,V1.0,,0,As a user i want to be able to use  the “Plaseaza comanda” button so that placing the order.,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,IGCM-8,IGCM-25,,,19/Oct/24 11:04 PM;712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67;Plaseaza comanda mandatory fields.JPG;https://itfclasses.atlassian.net/rest/api/3/attachment/content/12131,19/Oct/24 11:04 PM;712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67;Plaseaza comanda.JPG;https://itfclasses.atlassian.net/rest/api/3/attachment/content/12132,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5c75b8eb,,,,,,,,,,,ghx-label-2,,,,,,,dark_yellow,,,,,,,,,,0|i01jq1:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10002_*:*_1_*:*_822_*|*_10001_*:*_1_*:*_0,Done,19/Oct/24 11:05 PM
“Actualizeaza cosul” button,IGCM-14,20894,Story,Done,IGCM,irina_gosav_company_managed,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,High,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,19/Oct/24 11:03 PM,27/Oct/24 3:20 AM,08/Nov/24 11:12 AM,19/Oct/24 11:03 PM,V1.0,,0,As a user i want to be able to use the “Actualizeaza cosul” button so that the total cost will be updated accordingly.,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,IGCM-28,,IGCM-8,,19/Oct/24 11:03 PM;712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67;Actualizeaza cosul.JPG;https://itfclasses.atlassian.net/rest/api/3/attachment/content/12130,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1b38caaa,,,,,,,,,,,ghx-label-11,,,,,,,teal,,,,,,,,,,0|i01jpt:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10002_*:*_1_*:*_1026_*|*_10001_*:*_1_*:*_0,Done,19/Oct/24 11:03 PM
“Continua cumparaturile” button,IGCM-13,20893,Story,Done,IGCM,irina_gosav_company_managed,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,19/Oct/24 11:02 PM,27/Oct/24 3:19 AM,08/Nov/24 11:12 AM,19/Oct/24 11:02 PM,V1.0,,0,As a user i want to be able to use  “Continua cumparaturile” button so that I can add other products to the cart.,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,IGCM-26,,IGCM-8,,19/Oct/24 11:02 PM;712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67;Continua cumparaturile.JPG;https://itfclasses.atlassian.net/rest/api/3/attachment/content/12129,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@e5a23b,,,,,,,,,,,ghx-label-14,,,,,,,dark_orange,,,,,,,,,,0|i01jpl:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10002_*:*_1_*:*_1214_*|*_10001_*:*_1_*:*_0,Done,19/Oct/24 11:02 PM
“Adauga in cos” button,IGCM-12,20892,Story,Done,IGCM,irina_gosav_company_managed,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Highest,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,19/Oct/24 11:01 PM,27/Oct/24 3:17 AM,08/Nov/24 11:12 AM,19/Oct/24 11:01 PM,V1.0,,0,As a user I want to can access the “Adauga in cos” button so that I can add the desired product to the cart.,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,IGCM-27,,IGCM-8,,19/Oct/24 11:01 PM;712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67;Adauga in cos.JPG;https://itfclasses.atlassian.net/rest/api/3/attachment/content/12128,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@75bf5760,,,,,,,,,,,ghx-label-11,,,,,,,teal,,,,,,,,,,0|i01jpd:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10002_*:*_1_*:*_832_*|*_10001_*:*_1_*:*_0,Done,19/Oct/24 11:01 PM
”Aplica cupon” button - Non-recording,IGCM-11,20891,Story,Done,IGCM,irina_gosav_company_managed,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,High,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,19/Oct/24 10:59 PM,27/Oct/24 3:14 AM,08/Nov/24 11:12 AM,19/Oct/24 10:59 PM,V1.0,,0,As an administrator I want to not be able to enter any kind of coupons code so that  when the user enters an incorrect or invalid data in the field the discount won’t be applied and  an error message will be received. ,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,IGCM-24,,IGCM-8,,19/Oct/24 10:59 PM;712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67;Cod cupon.JPG;https://itfclasses.atlassian.net/rest/api/3/attachment/content/12127,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4e4d01fe,,,,,,,,,,,ghx-label-13,,,,,,,dark_green,,,,,,,,,,0|i01jp5:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10002_*:*_1_*:*_704_*|*_10001_*:*_1_*:*_0,Done,19/Oct/24 10:59 PM
Required Field Marking of the quantity selection,IGCM-10,20890,Story,In Progress,IGCM,irina_gosav_company_managed,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,19/Oct/24 10:57 PM,27/Oct/24 8:54 AM,08/Nov/24 11:12 AM,,V1.0,,0,As an administrator I want to can select how many pieces from a product i want so that I can add them all at once in cart but not more than 100 pieces.,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,IGCM-23,,IGCM-17,IGCM-8,19/Oct/24 10:57 PM;712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67;Required Field Marking of the quantity selection.JPG;https://itfclasses.atlassian.net/rest/api/3/attachment/content/12126,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3d1b4d59,,,,,,,,,,,ghx-label-12,,,,,,,grey,,,,,,,,,,0|i01jox:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Progress,19/Oct/24 10:57 PM
”Aplica cupon” button -recording,IGCM-9,20889,Story,In Progress,IGCM,irina_gosav_company_managed,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,19/Oct/24 10:55 PM,27/Oct/24 3:01 AM,08/Nov/24 11:12 AM,,V1.0,,0,As a user I want to can introduce a code so that I can obtain a discount.,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,IGCM-22,,IGCM-16,IGCM-8,19/Oct/24 10:55 PM;712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67;Cod cupon.JPG;https://itfclasses.atlassian.net/rest/api/3/attachment/content/12125,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7a11006a,,,,,,,,,,,ghx-label-13,,,,,,,dark_green,,,,,,,,,,0|i01jop:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Progress,19/Oct/24 10:55 PM
"""Huse Menu” button",IGCM-4,20884,Story,Done,IGCM,irina_gosav_company_managed,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Medium,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,19/Oct/24 10:35 PM,27/Oct/24 3:03 AM,08/Nov/24 11:12 AM,19/Oct/24 10:35 PM,V1.0,,0,As a user I want to can acces the “Huse” button so that I can view only the list with the “huse” products.,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,IGCM-6,IGCM-21,,,19/Oct/24 10:35 PM;712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67;Huse button.JPG;https://itfclasses.atlassian.net/rest/api/3/attachment/content/12111,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@639483cd,,,,,,,,,,,ghx-label-8,,,,,,,dark_purple,,,,,,,,,,0|i01jnl:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10002_*:*_1_*:*_667_*|*_10001_*:*_1_*:*_0,Done,19/Oct/24 10:35 PM
“Sorteaza dupa” button,IGCM-3,20883,Story,Done,IGCM,irina_gosav_company_managed,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Low,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,19/Oct/24 10:34 PM,27/Oct/24 3:01 AM,08/Nov/24 11:12 AM,19/Oct/24 10:34 PM,V1.0,,0,"As a user I want to can access the “Sorteaza dupa ” so that the desired product can be selected by choosing the price, the newest articles, the best sellers’ articles or the average product sales.",,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,IGCM-6,IGCM-20,,,19/Oct/24 10:36 PM;712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67;Sorteaza dupa.JPG;https://itfclasses.atlassian.net/rest/api/3/attachment/content/12112,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7cae31e3,,,,,,,,,,,ghx-label-12,,,,,,,grey,,,,,,,,,,0|i01jnd:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10002_*:*_1_*:*_568_*|*_10001_*:*_1_*:*_0,Done,19/Oct/24 10:34 PM
Correct main interface display,IGCM-2,20882,Story,Done,IGCM,irina_gosav_company_managed,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Highest,Done,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,19/Oct/24 10:30 PM,27/Oct/24 3:00 AM,08/Nov/24 11:12 AM,19/Oct/24 10:30 PM,V1.0,,0,As a user I want to have access on the correct main interface of the website so that I can see the available products.,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,IGCM-6,IGCM-19,IGCM-7,,19/Oct/24 10:30 PM;712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67;main interface display.JPG;https://itfclasses.atlassian.net/rest/api/3/attachment/content/12110,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5dd0602f,,,,,,,,,,,ghx-label-9,,,,,,,orange,,,,,,,,,,0|i01jn5:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10002_*:*_1_*:*_506_*|*_10001_*:*_1_*:*_0,Done,19/Oct/24 10:30 PM
“Filtreaza” button,IGCM-1,20881,Story,In Progress,IGCM,irina_gosav_company_managed,software,ITF Classes,712020:8ab46ca2-145f-4a56-a13e-bb85ee67acea,,Low,,,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,19/Oct/24 10:29 PM,27/Oct/24 3:01 AM,08/Nov/24 11:12 AM,,V1.0,,0,As a user I want to can acces the “Filtreaza” button so that the desired product can be selected by choosing the desired price.,,IT Factory,712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67,,,,,,,,,IGCM-6,IGCM-18,IGCM-5,,19/Oct/24 10:28 PM;712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67;Filtreaza.JPG;https://itfclasses.atlassian.net/rest/api/3/attachment/content/12108,19/Oct/24 10:28 PM;712020:ac03dc4b-ffe6-4f35-ba83-41f3c30a3c67;Price balance.JPG;https://itfclasses.atlassian.net/rest/api/3/attachment/content/12109,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3290083c,,,,,,,,,,,ghx-label-13,,,,,,,dark_green,,,,,,,,,,0|i01jmx:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Progress,19/Oct/24 10:29 PM
